Start,End,Open,High,Low,Close,Volume,Market Cap
2022-03-20,2022-03-21,92.4142311179586,92.4142311179586,88.1216892409003,88.68228512114048,1820085676.8888888,28892725506.496323
2022-03-19,2022-03-20,89.79708454272091,94.4389806994186,89.40810038553467,92.3859025325588,2720763160.888889,29273330959.02153
2022-03-18,2022-03-19,87.86484895162582,91.80459198025672,84.68272578955698,89.70616554984645,2850402360.888889,28029758700.113148
2022-03-17,2022-03-18,87.79717201537679,90.67972583119608,86.7509,87.80915917048367,2509483485.3333335,28428192384.916916
2022-03-16,2022-03-17,82.87006735070167,87.73100446421137,81.67925679895443,87.73100446421137,2256502411.111111,27007670994.41331
2022-03-15,2022-03-16,81.18682207420515,85.12167638011316,79.09240615135366,82.92012244955522,1689243390.6666667,26144035642.198338
2022-03-14,2022-03-15,78.84523086193796,81.9841,78.133,81.047044929393,1749547248,25874063027.44822
2022-03-13,2022-03-14,81.4134629804096,82.8118,78.09488280181606,78.91477174427052,1078182421.7777777,26192244135.11627
2022-03-12,2022-03-13,80.67443320370445,82.66853723409406,80.67443320370445,81.63673413990475,1587612035.3333333,26253787450.06567
2022-03-11,2022-03-12,82.94484320258118,84.01884034021049,80.1803749777916,80.76296928153728,2044308961.3333333,26304138111.078815
2022-03-10,2022-03-11,88.12724809997468,88.47249263696274,81.29093475009894,83.03559978612967,2562888472,26774361237.08096
2022-03-09,2022-03-10,82.3104000760564,89.54092343696463,82.11409010965542,88.1519700069252,2731266129.7777777,28070513784.55284
2022-03-08,2022-03-09,81.89723403007476,84.7837,81.51666998978325,82.15255980908044,2458506776.888889,26615411061.334328
2022-03-07,2022-03-08,84.56732716890949,86.36024542629386,80.1262034887546,82.08508346719111,2092166047.1111112,26617141242.997272
2022-03-06,2022-03-07,89.6555,89.8392,84.2452,84.68727055776866,1384062527.5555556,27931952985.648426
2022-03-05,2022-03-06,88.30700259792907,90.86876133620235,86.44727408840481,89.72294837199111,2336508166.4229393,28344610657.60273
2022-03-04,2022-03-05,95.62905332562858,95.7218772303813,87.60698664207584,88.26304551957928,2693458846.989474,29216722712.411385
2022-03-03,2022-03-04,100.75611161641504,101.3975,94.4063,95.5292865361438,3165948792.4181185,31385728898.414417
2022-03-02,2022-03-03,98.6509,106.06666273259968,97.3582,100.8434021629295,4033866579.5555553,32664436030.569885
2022-03-01,2022-03-02,99.7028,101.4325,95.2683,98.7167,4330380869.333333,31312192564.176132
